VIC,ShortName,Description,HorizontalActive,VerticalActive,VerticalHz,PixelMHz,HorizontalTotal,VerticalTotal,Native,,,,,,,,,,,
60,720p24,1280x720p @ 23.98Hz/24Hz ,1280,720,24,59.4,3300,750,no,,,,,,,,,,,
61,720p25,1280x720p @ 25Hz ,1280,720,25,74.25,3960,750,no,,,,,,,,,,,
62,720p30,1280x720p @ 29.97Hz/30Hz ,1280,720,29.97/30,74.25,3300,750,no,,,,,,,,,,,
63,1080p120,1920x1080p @ 119.88Hz/120Hz ,1920,1080,119.88/120,297,2200,1125,no,,,,,,,,,,,
64,1080p100,1920x1080p @ 100Hz ,1920,1080,100,297,2640,1125,no,,,,,,,,,,,
65,720p24,1280x720p @ 23.98Hz/24Hz ,1280,720,23.98/24,59.4,3300,750,no,,,,,,,,,,,
66,720p25,1280x720p @ 25Hz ,1280,720,25,74.25,3960,750,no,,,,,,,,,,,
67,720p30,1280x720p @ 29.97Hz/30Hz ,1280,720,29.97/30,74.25,3300,750,no,,,,,,,,,,,
68,720p50,1280x720p @ 50Hz,1280,720,50,74.25,1980,750,no,,,,,,,,,,,
69,720p,1280x720p @ 59.94/60Hz ,1650,750,60,74.25,1650,750,no,,,,,,,,,,,
70,720p100,1280x720p @ 100Hz,1280,720,100,148.5,1980,750,no,,,,,,,,,,,
71,720p120,1280x720p @ 119.88/120Hz ,1280,720,119.88/120,148.5,1650,750,no,,,,,,,,,,,
72,1080p24,1920x1080p @ 23.98/24Hz ,1920,1080,23.98/24,74.25,2750,1125,no,,,,,,,,,,,
73,1080p25,1920x1080p @ 25Hz ,1920,1080,25,74.25,2640,1125,no,,,,,,,,,,,
74,1080p30,1920x1080p @ 29.98/30Hz ,1920,1080,29.97/30,74.25,2500,1125,no,,,,,,,,,,,
75,1080p50,1920x1080p @ 50Hz ,1920,1080,50,148.5,2640,1125,no,,,,,,,,,,,
76,1080p,1920x1080p @ 59.94/60Hz ,1920,1080,60,148.5,2200,1125,no,,,,,,,,,,,
77,1080p100,1920x1080p @ 100Hz ,1920,1080,100,297,2640,1125,no,,,,,,,,,,,
78,1080p120,1920x1080p @ 119.88Hz/120Hz ,1920,1080,119.88/120,297,2200,1125,no,,,,,,,,,,,
79,720p2x24,1680x720p @ 23.98Hz/24Hz ,1680,720,23.98/24,59.4,3300,750,no,,,,,,,,,,,
80,720p2x25,1680x720p @ 25Hz ,1680,720,25,59.4,3168,750,no,,,,,,,,,,,
81,720p2x30,1680x720p @ 29.97Hz/30Hz,1680,720,29.97/30,59.4,2640,750,no,,,,,,,,,,,
82,720p2x50,1680x720p @ 50Hz,1680,720,50,82.5,2200,750,no,,,,,,,,,,,
83,720p2x,1680x720p @ 59.94/60Hz ,1680,720,60,99,2200,750,no,,,,,,,,,,,
84,720p2x100,1680x720p @ 100Hz ,1680,720,100,165,2000,825,no,,,,,,,,,,,
85,720p2x120,1680x720p @ 119.88Hz/120Hz ,1680,720,119.88/120,198,2000,825,no,,,,,,,,,,,
86,1080p2x24,2560x1080p @ 23.98Hz/24Hz ,2560,1080,23.98/24,99,3750,1100,no,,,,,,,,,,,
87,1080p2x25,2560x1080p @ 25Hz ,2560,1080,25,90,3200,1125,no,,,,,,,,,,,
88,1080p2x30,2560x1080p @ 29.97Hz/30Hz ,2560,1080,29.97/30,118.8,3520,1125,no,,,,,,,,,,,
89,1080p2x50,2560x1080p @ 50Hz ,2560,1080,50,185.625,3000,1125,no,,,,,,,,,,,
90,1080p2x,2560x1080p @ 59.94/60Hz ,2560,1080,60,198,3000,1100,no,,,,,,,,,,,
91,1080p2x100,2560x1080p @ 100Hz ,2560,1080,100,371.25,2970,1250,no,,,,,,,,,,,
92,1080p2x120,2560x1080p @ 119.88Hz/120Hz ,2560,1080,119.88/120,495,3300,1250,no,,,,,,,,,,,
93,2160p24,3840x2160p @ 23.98Hz/24Hz ,3840,2160,23.98/24,297,5500,2250,no,,,,,,,,,,,
94,2160p25,3840x2160p @ 25Hz ,3840,2160,25,297,5280,2250,no,,,,,,,,,,,
95,2160p30,3840x2160p @ 29.97Hz/30Hz ,3840,2160,29.97/30,297,4400,2250,no,,,,,,,,,,,
96,2160p50,3840x2160p @ 50Hz ,3840,2160,50,594,5280,2250,no,,,,,,,,,,,
97,2160p60,3840x2160p @ 59.94Hz/60Hz ,3840,2160,60,594,4400,2250,no,,,,,,,,,,,
98,2160p24,4096x2160p @ 23.98Hz/24Hz ,4096,2160,23.98/24,297,5500,2250,no,,,,,,,,,,,
99,2160p25,4096x2160p @ 25Hz ,4096,2160,25,297,5280,2250,no,,,,,,,,,,,
100,2160p30,4096x2160p @ 29.97Hz/30Hz ,4096,2160,29.97/30,297,4400,2250,no,,,,,,,,,,,
101,2160p50,4096x2160p @ 50Hz ,4096,2160,50,594,5280,2250,no,,,,,,,,,,,
102,2160p,4096x2160p @ 59.94Hz/60Hz ,4096,2160,60,594,4400,2250,no,,,,,,,,,,,
103,2160p24,3840x2160p @ 23.98Hz/24Hz ,3840,2160,23.98/24,297,5500,2250,no,,,,,,,,,,,
104,2160p25,3840x2160p @ 25Hz ,3840,2160,25,297,5280,2250,no,,,,,,,,,,,
105,2160p30,3840x2160p @ 29.97Hz/30Hz ,3840,2160,29.97/30,297,4400,2250,no,,,,,,,,,,,
106,2160p50,3840x2160p @ 50Hz ,3840,2160,50,594,5280,2250,no,,,,,,,,,,,
107,2160p,3840x2160p @ 59.94Hz/60Hz ,3840,2160,60,594,4400,2250,no,,,,,,,,,,,
108,720p48,1280x720p @ 47.95Hz/48Hz ,1280,720,47.96/48,90,2500,750,no,,,,,,,,,,,
109,720p48,1280x720p @ 47.95Hz/48Hz ,1280,720,47.96/48,90,2500,750,no,,,,,,,,,,,
110,720p2x48,1680x720p @ 47.95Hz/48Hz ,1680,720,47.96/48,99,2750,825,no,,,,,,,,,,,
111,1080p48,1920x1080p @ 47.95Hz/48Hz ,1920,1080,47.96/48,148.5,2750,1125,no,,,,,,,,,,,
112,1080p48,1920x1080p @ 47.95Hz/48Hz ,1920,1080,47.96/48,148.5,2750,1125,no,,,,,,,,,,,
113,1080p2x48,2560x1080p @ 47.95Hz/48Hz ,2560,1080,47.96/48,198,3750,1100,no,,,,,,,,,,,
114,2160p48,3840x2160p @ 47.95Hz/48Hz ,3840,2160,47.96/48,594,5500,2250,no,,,,,,,,,,,
115,2160p48,4096x2160p @ 47.95Hz/48Hz ,4096,2160,47.96/48,594,5500,2250,no,,,,,,,,,,,
116,2160p48,3840x2160p @ 47.95Hz/48Hz ,3840,2160,47.96/48,594,5500,2250,no,,,,,,,,,,,
117,2160p100,3840x2160p @ 100Hz ,3840,2160,100,1188,5280,2250,no,,,,,,,,,,,
118,2160p120,3840x2160p @ 119.88/120Hz ,3840,2160,119.88/120,1188,4400,2250,no,,,,,,,,,,,
119,2160p100,3840x2160p @ 100Hz ,3840,2160,100,1188,5280,2250,no,,,,,,,,,,,
